100, 318720, 1, 0, 0
200, 183120, 1, 0, 0
300, 168760, 1, 0, 0
400, 170760, 1, 0, 0
500, 308640, 1, 0, 0
600, 242343, 1, 0, 0
700, 379160, 1, 0, 0
800, 387240, 1, 0, 0
900, 170720, 1, 0, 0
1000, 223000, 1, 0, 0
1100, 327760, 1, 0, 0
1200, 250000, 1, 0, 0
1300, 157120, 1, 0, 0
1400, 119680, 1, 0, 0
1500, 88760, 1, 0, 0
1600, 304080, 1, 0, 0
1700, 331232, 1, 0, 0
1800, 339880, 1, 0, 0
1900, 294320, 1, 0, 0
2000, 173040, 1, 0, 0
2100, 213080, 1, 0, 0
2200, 195840, 1, 0, 0
2300, 248280, 1, 0, 0
2400, 158880, 1, 0, 0
2500, 228161, 1, 0, 0
2600, 126000, 1, 0, 0
2700, 295360, 1, 0, 0
2800, 504480, 1, 0, 0
2900, 116120, 1, 0, 0
3000, 380920, 1, 0, 0
3100, 430400, 1, 0, 0
3200, 281960, 1, 0, 0
3300, 127720, 1, 0, 0
3400, 218560, 1, 0, 0
3500, 360240, 1, 0, 0
3600, 204000, 1, 0, 0
3699, 210181, 1, 0, 0
3800, 196560, 1, 0, 0
3900, 215200, 1, 0, 0
4000, 374280, 1, 0, 0
4100, 384440, 1, 0, 0
4200, 430680, 1, 0, 0
4300, 240280, 1, 0, 0
4400, 286640, 1, 0, 0
4500, 435320, 1, 0, 0
4600, 252440, 1, 0, 0
4700, 369480, 1, 0, 0
4800, 176360, 1, 0, 0
4900, 166680, 1, 0, 0
5000, 223680, 1, 0, 0
5100, 198747, 1, 0, 0
5200, 229400, 1, 0, 0
5300, 228960, 1, 0, 0
5400, 110040, 1, 0, 0
5500, 210760, 1, 0, 0
5600, 177560, 1, 0, 0
5700, 217240, 1, 0, 0
5800, 234707, 1, 0, 0
5900, 261680, 1, 0, 0
6000, 387600, 1, 0, 0
6107, 406452, 1, 0, 0
6207, 436520, 1, 0, 0
6307, 428720, 1, 0, 0
6407, 326520, 1, 0, 0
6507, 386360, 1, 0, 0
6607, 440400, 1, 0, 0
6707, 300440, 1, 0, 0
6808, 396600, 1, 0, 0
6908, 187720, 1, 0, 0
7008, 183440, 1, 0, 0
